,Date,DBS,SGD,pred,err,err sq,,,Coefficients
1,6/20/2017,20.45,1.38925,19.93128968,0.518710325,0.269060401,,intercept,90.22859
2,6/19/2017,20.6,1.38707,20.04159964,0.558400363,0.311810965,,SGD,-50.6009
3,6/16/2017,20.45,1.38324,20.23540108,0.214598916,0.046052695,,,
4,6/15/2017,20.41,1.38378,20.2080766,0.201923402,0.04077306,,,
5,6/14/2017,20.59,1.37595,20.60428165,-0.014281645,0.000203965,,,
6,6/13/2017,20.78,1.38172,20.31231445,0.467685548,0.218729772,,,
7,6/12/2017,20.59,1.38424,20.18480018,0.405199816,0.164186891,,,
8,6/9/2017,20.72,1.38401,20.19643839,0.523561609,0.274116758,,,
9,6/8/2017,20.47,1.3827,20.26272557,0.20727443,0.042962689,,,
10,6/7/2017,20.43,1.38187,20.30472432,0.125275683,0.015693997,,,
11,6/6/2017,20.49,1.37925,20.43729868,0.052701325,0.00277743,,,
12,6/5/2017,20.49,1.38157,20.31990459,0.170095413,0.02893245,,,
13,6/2/2017,20.48,1.38104,20.34672306,0.133276936,0.017762742,,,
14,6/1/2017,20.65,1.38653,20.06892412,0.581075877,0.337649175,,,
15,5/31/2017,20.47,1.3832,20.23742512,0.23257488,0.054091075,,,
16,5/30/2017,20.6,1.3853,20.13116323,0.46883677,0.219807917,,,
17,5/29/2017,20.84,1.38665,20.06285202,0.777147985,0.603958991,,,
18,5/26/2017,20.8,1.38071,20.36342136,0.436578639,0.190600908,,,
19,5/25/2017,21.04,1.38634,20.07853829,0.961461706,0.924408612,,,
20,5/24/2017,21,1.38451,20.17113794,0.828862059,0.687012313,,,
21,5/23/2017,21,1.38995,19.89586905,1.104130955,1.219105166,,,
22,5/22/2017,20.86,1.38642,20.07449022,0.785509778,0.617025611,,,
23,5/19/2017,20.7,1.38523,20.13470529,0.565294707,0.319558106,,,
24,5/18/2017,20.63,1.39297,19.74305433,0.886945673,0.786672627,,,
25,5/17/2017,20.8,1.38981,19.90295317,0.897046829,0.804693013,,,
26,5/16/2017,20.65,1.39474,19.65349073,0.996509266,0.993030717,,,
27,5/15/2017,20.77,1.39749,19.51433826,1.255661741,1.576686408,,,
28,5/12/2017,20.68,1.40394,19.18796245,1.492037546,2.226176039,,,
29,5/11/2017,20.93,1.40746,19.00984729,1.920152714,3.686986445,,,
30,5/9/2017,20.5,1.41128,18.81655185,1.683448152,2.83399768,,,
31,5/8/2017,20.3,1.40604,19.08170056,1.218299436,1.484253516,,,
32,5/5/2017,20.42,1.40496,19.13634954,1.283650464,1.647758514,,,
33,5/4/2017,20.45,1.40069,19.35241538,1.097584621,1.204692,,,
34,5/3/2017,20.53,1.39724,19.52698848,1.003011516,1.006032101,,,
35,5/2/2017,19.57,1.39379,19.70156159,-0.131561589,0.017308452,,,
36,4/28/2017,19.07,1.39739,19.51939835,-0.449398349,0.201958876,,,
37,4/27/2017,18.93,1.3971,19.53407261,-0.60407261,0.364903718,,,
38,4/26/2017,19.03,1.39598,19.59074562,-0.560745618,0.314435648,,,
39,4/25/2017,18.92,1.39412,19.68486329,-0.764863292,0.585015855,,,
40,4/24/2017,18.73,1.39261,19.76127065,-1.031270651,1.063519156,,,
41,4/21/2017,18.5,1.39655,19.56190311,-1.061903105,1.127638204,,,
42,4/20/2017,18.64,1.39772,19.50270005,-0.862700052,0.74425138,,,
43,4/19/2017,18.52,1.39821,19.47790561,-0.957905611,0.91758316,,,
44,4/18/2017,18.65,1.39584,19.59782974,-0.947829744,0.898381224,,,
45,4/17/2017,18.63,1.39794,19.49156785,-0.861567854,0.742299167,,,
46,4/13/2017,18.82,1.39799,19.48903781,-0.669037809,0.44761159,,,
47,4/12/2017,18.97,1.39653,19.56291512,-0.592915123,0.351548343,,,
48,4/11/2017,18.88,1.40404,19.18290236,-0.302902364,0.091749842,,,
49,4/10/2017,18.85,1.4048,19.14444568,-0.29444568,0.086698258,,,
50,4/7/2017,18.78,1.40474,19.14748173,-0.367481734,0.135042825,,,
51,4/6/2017,18.85,1.40211,19.2805621,-0.430562101,0.185383723,,,
52,4/5/2017,18.93,1.40067,19.3534274,-0.423427397,0.179290761,,,
53,4/4/2017,18.95,1.39817,19.47992965,-0.529929647,0.280825431,,,
54,4/3/2017,19.12,1.3971,19.53407261,-0.41407261,0.171456126,,,
55,3/31/2017,19.12,1.39639,19.56999925,-0.449999249,0.202499324,,,
56,3/30/2017,19.02,1.39769,19.50421808,-0.484218079,0.234467148,,,
57,3/29/2017,19.01,1.39407,19.68739334,-0.677393337,0.458861733,,,
58,3/28/2017,18.75,1.39677,19.55077091,-0.800770907,0.641234045,,,
59,3/27/2017,18.43,1.39397,19.69245343,-1.262453427,1.593788655,,,
60,3/24/2017,18.52,1.39885,19.44552104,-0.925521035,0.856589186,,,
61,3/23/2017,18.38,1.3997,19.40251027,-1.02251027,1.045527252,,,
62,3/22/2017,18.4,1.39854,19.46120731,-1.061207314,1.126160963,,,
63,3/21/2017,18.73,1.39934,19.42072659,-0.690726594,0.477103228,,,
64,3/20/2017,18.74,1.39688,19.54520481,-0.805204808,0.648354783,,,
65,3/17/2017,18.86,1.40201,19.28562219,-0.425622191,0.181154249,,,
66,3/16/2017,18.84,1.40121,19.32610291,-0.486102911,0.23629604,,,
67,3/15/2017,18.85,1.40224,19.27398398,-0.423983984,0.179762419,,,
68,3/14/2017,18.91,1.41592,18.58176367,0.328236328,0.107739087,,,
69,3/13/2017,18.83,1.41477,18.63995471,0.190045293,0.036117213,,,
70,3/10/2017,18.66,1.41173,18.79378144,-0.133781443,0.017897474,,,
71,3/9/2017,18.67,1.42132,18.30851881,0.361481188,0.130668649,,,
72,3/8/2017,19,1.41763,18.49523613,0.504763867,0.254786561,,,
73,3/7/2017,18.82,1.41135,18.81300979,0.006990215,4.88631E-05,,,
74,3/6/2017,18.79,1.41235,18.76240889,0.027591115,0.00076127,,,
75,3/3/2017,18.74,1.41037,18.86259867,-0.122598667,0.015030433,,,
76,3/2/2017,18.76,1.41213,18.77354108,-0.013541083,0.000183361,,,
77,3/1/2017,18.55,1.40907,18.92837984,-0.378379837,0.143171301,,,
78,2/28/2017,18.46,1.405,19.1343255,-0.6743255,0.45471488,,,
79,2/27/2017,18.54,1.40429,19.17025214,-0.630252139,0.397217759,,,
80,2/24/2017,18.6,1.40447,19.16114398,-0.561143977,0.314882563,,,
81,2/23/2017,18.62,1.40763,19.00124513,-0.381245133,0.145347851,,,
82,2/22/2017,18.48,1.41323,18.71788009,-0.237880093,0.056586939,,,
83,2/21/2017,18.19,1.42045,18.3525416,-0.162541595,0.02641977,,,
84,2/20/2017,18.23,1.41793,18.48005586,-0.250055863,0.062527935,,,
85,2/17/2017,18.33,1.41901,18.42540689,-0.095406891,0.009102475,,,
86,2/16/2017,18.27,1.41659,18.54786107,-0.277861069,0.077206774,,,
87,2/15/2017,17.97,1.41906,18.42287685,-0.452876846,0.205097438,,,
88,2/14/2017,18,1.41995,18.37784205,-0.377842045,0.142764611,,,
89,2/13/2017,18.64,1.42416,18.16481226,0.475187744,0.225803392,,,
90,2/10/2017,18.7,1.42058,18.34596348,0.354036522,0.125341859,,,
91,2/9/2017,18.55,1.42066,18.34191541,0.208084594,0.043299198,,,
92,2/8/2017,18.53,1.41667,18.543813,-0.013812997,0.000190799,,,
93,2/7/2017,18.59,1.41857,18.44767129,0.142328713,0.020257463,,,
94,2/6/2017,18.66,1.40917,18.92331975,-0.263319747,0.069337289,,,
95,2/3/2017,18.39,1.40746,19.00984729,-0.619847286,0.384210658,,,
96,2/2/2017,18.51,1.41138,18.81149176,-0.301491758,0.09089728,,,
97,2/1/2017,18.61,1.41244,18.7578548,-0.147854804,0.021861043,,,
98,1/31/2017,18.7,1.40954,18.90459741,-0.204597414,0.041860102,,,
99,1/27/2017,18.89,1.43178,17.7792334,1.110766602,1.233802444,,,
100,1/26/2017,18.76,1.42589,18.0772727,0.682727301,0.466116568,,,
101,1/25/2017,18.58,1.41285,18.73710844,-0.157108435,0.02468306,,,
102,1/24/2017,18.39,1.42117,18.31610895,0.073891053,0.005459888,,,
103,1/23/2017,18.08,1.41598,18.57872762,-0.498727618,0.248729237,,,
104,1/20/2017,18.01,1.42705,18.01857566,-0.008575655,7.35419E-05,,,
105,1/19/2017,18.02,1.42616,18.06361046,-0.043610456,0.001901872,,,
106,1/18/2017,17.94,1.42876,17.93204812,0.007951884,6.32325E-05,,,
107,1/17/2017,18.09,1.41601,18.57720959,-0.487209591,0.237373186,,,
108,1/16/2017,18.06,1.4303,17.85412273,0.20587727,0.04238545,,,
109,1/13/2017,18.05,1.42592,18.07575467,-0.025754672,0.000663303,,,
110,1/12/2017,17.86,1.42728,18.00693745,-0.146937448,0.021590614,,,
111,1/11/2017,17.78,1.42678,18.0322379,-0.252237898,0.063623957,,,
112,1/10/2017,17.73,1.43654,17.53837311,0.191626886,0.036720863,,,
113,1/9/2017,17.59,1.43529,17.60162424,-0.011624239,0.000135123,,,
114,1/6/2017,17.42,1.43938,17.39466656,0.025333442,0.000641783,,,
115,1/5/2017,17.54,1.42847,17.94672238,-0.406722377,0.165423092,,,
116,1/4/2017,17.27,1.43942,17.39264252,-0.122642522,0.015041188,,,
117,1/3/2017,17.07,1.44992,16.86133307,0.208666928,0.043541887,,,
118,12/30/2016,17.09,1.44655,17.03185811,0.058141895,0.00338048,,,
119,12/29/2016,17.13,1.44814,16.95140267,0.178597326,0.031897005,,,
120,12/28/2016,17.22,1.45018,16.84817684,0.371823162,0.138252464,,,
121,12/27/2016,17.19,1.44954,16.88056141,0.309438586,0.095752239,,,
122,12/23/2016,17.14,1.44766,16.97569111,0.164308894,0.026997413,,,
